                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0979,                 3.4792,                 4.2234,                0.00468,                0.68396,                0.01283,                0.00556,                 2.7913,                 3.5082,                 4.1196,                 0.0748,                 0.0028,                 0.0028
                      1,                 3.1069,                 3.4338,                 4.1469,                0.00461,                0.69602,                0.01638,                0.00764,                 2.7723,                 3.5295,                 4.0756,               0.048559,              0.0055589,              0.0055589
                      2,                 3.1044,                 3.3866,                 4.0698,                 0.0046,                0.69602,                0.01833,                0.00801,                 2.7502,                 3.5985,                 4.0194,               0.022174,              0.0081743,              0.0081743
                      3,                 3.1421,                 3.3594,                 4.0226,                0.00469,                0.73462,                0.03718,                0.01251,                 2.7591,                 3.5877,                  4.053,              0.0092575,              0.0092575,              0.0092575
                      4,                 3.1361,                 3.2997,                 3.9409,                0.05504,                0.16888,                0.03202,                0.00961,                 2.7513,                 3.7062,                 3.8469,              0.0092575,              0.0092575,              0.0092575
                      5,                 3.0899,                  3.247,                  3.779,                0.05044,                0.03257,                0.01339,                0.00365,                 2.8831,                 3.9474,                 4.0355,                0.00901,                0.00901,                0.00901
                      6,                 3.0059,                 3.1169,                 3.6264,                0.00784,                0.07841,                0.00324,                0.00091,                 3.8897,                 4.2051,                 6.0844,              0.0087625,              0.0087625,              0.0087625
                      7,                 3.0156,                 3.0753,                 3.5427,                 0.0065,                0.20869,                0.00502,                0.00155,                 3.2551,                 4.3047,                 5.8921,               0.008515,               0.008515,               0.008515
                      8,                 2.9529,                 2.9952,                 3.4406,                0.15309,                0.09891,                0.05618,                0.01559,                 2.5922,                 3.3658,                 3.6337,              0.0082675,              0.0082675,              0.0082675
                      9,                 2.8474,                 2.8778,                 3.3257,                0.09935,                0.20989,                0.06251,                0.01874,                 2.6015,                 4.5942,                  3.313,                0.00802,                0.00802,                0.00802
                     10,                 2.7407,                 2.8358,                 3.2424,                0.14022,                0.28249,                0.08627,                0.02643,                 2.4954,                 3.2787,                 3.2316,              0.0077725,              0.0077725,              0.0077725
                     11,                 2.6584,                 2.7527,                 3.1681,                0.24782,                0.31001,                0.15745,                0.05167,                 2.4257,                 3.3761,                 3.1482,               0.007525,               0.007525,               0.007525
                     12,                 2.5613,                 2.6787,                 3.0614,                0.15197,                  0.269,                0.11465,                0.03585,                 2.3874,                 3.9404,                 3.1024,              0.0072775,              0.0072775,              0.0072775
                     13,                 2.3995,                  2.532,                 2.9658,                0.11592,                0.27986,                0.08879,                0.02953,                 2.2862,                 3.8002,                 3.0275,                0.00703,                0.00703,                0.00703
                     14,                 2.3363,                 2.5264,                 2.8892,                0.19452,                0.22809,                0.09458,                0.03308,                 2.5739,                 3.2742,                 3.3555,              0.0067825,              0.0067825,              0.0067825
                     15,                 2.2517,                 2.4824,                 2.8057,                0.12678,                0.20748,                0.07724,                0.02314,                 2.4232,                 4.0795,                 3.1406,               0.006535,               0.006535,               0.006535
